Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Average BT,Avg RP,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15, Role
Aatrox,4,2,7.0,3,1.0,75.0,5.9,9.5,2.5,,7.6,740.0,390.0,3.0,119.0,902.0,T
Maokai,2,2,6.0,0,2.0,0.0,0.5,3.0,1.0,,5.9,508.0,287.0,0.5,-307.0,0.0,T
Renata Glasc,0,4,6.0,9,,,,,,3.0,,,,,,
Sylas,3,2,5.0,0,3.0,0.0,2.0,8.5,2.33,,8.5,556.0,363.0,-3.7,-15.0,-141.0,M
Nami,4,0,5.0,1,3.0,25.0,3.0,,,0.0,,,,,,
Lee Sin,0,3,4.0,6,,,,,,3.0,,,,,,
Naafiri,5,0,4.0,3,2.0,60.0,3.0,,,5.0,,,,,,
Nocturne,3,2,4.0,2,1.0,67.0,4.7,7.0,3.67,,6.5,381.0,354.0,1.0,316.0,-65.0,J
Yone,4,1,4.0,3,1.0,75.0,9.0,9.0,2.5,,9.0,702.0,457.0,-6.8,231.0,88.0,M
Smolder,2,2,4.0,1,1.0,50.0,3.1,7.0,3.5,,9.2,1085.0,429.0,10.5,529.0,162.0,A
Ahri,1,2,3.0,1,0.0,100.0,6.5,7.5,3.0,,8.8,765.0,460.0,15.0,692.0,609.0,M
Tristana,0,2,3.0,8,,,,,,0.0,,,,,,
Kled,1,1,3.0,0,1.0,0.0,1.0,10.0,1.0,,9.4,396.0,434.0,-14.0,457.0,-218.0,T
Pyke,0,2,3.0,8,,,,,,5.0,,,,,,
Hwei,3,1,3.0,2,1.0,67.0,3.5,9.0,3.33,,9.0,811.0,415.0,9.3,-79.0,102.0,M
Sejuani,3,0,2.0,0,3.0,0.0,6.0,,,2.0,,,,,,
Anivia,2,0,2.0,1,1.0,50.0,2.0,,,4.0,,,,,,
Gwen,1,1,2.0,1,0.0,100.0,2.7,10.0,2.0,,7.4,764.0,426.0,-13.0,541.0,-139.0,T
Blitzcrank,1,1,2.0,0,1.0,0.0,1.4,5.0,3.0,,1.0,191.0,211.0,-1.0,-69.0,-11.0,S
Jayce,1,1,2.0,0,1.0,0.0,0.5,10.0,3.0,,7.7,566.0,334.0,15.0,341.0,-1016.0,T
Miss Fortune,1,1,2.0,0,1.0,0.0,2.0,5.0,3.0,,10.0,649.0,412.0,18.0,979.0,61.0,A
Dr. Mundo,3,0,2.0,3,0.0,100.0,5.0,,,4.0,,,,,,
Elise,1,0,1.0,0,1.0,0.0,0.0,,,8.0,,,,,,
Morgana,1,0,1.0,0,1.0,0.0,0.0,,,8.0,,,,,,
Swain,1,0,1.0,0,1.0,0.0,1.0,,,6.0,,,,,,
Twisted Fate,0,1,1.0,7,,,,,,0.0,,,,,,
Volibear,0,1,1.0,5,,,,,,0.0,,,,,,
Senna,1,0,1.0,0,1.0,0.0,1.0,,,0.0,,,,,,
Vex,0,1,1.0,10,,,,,,0.0,,,,,,
Zeri,1,0,1.0,1,0.0,100.0,21.0,,,0.0,,,,,,
Skarner,3,0,1.0,0,3.0,0.0,2.0,,,5.0,,,,,,
Vayne,2,0,1.0,1,1.0,50.0,6.0,,,4.0,,,,,,
Kassadin,1,0,1.0,0,1.0,0.0,0.0,,,7.0,,,,,,
Soraka,1,0,1.0,0,1.0,0.0,1.0,,,0.0,,,,,,
Zed,1,0,1.0,0,1.0,0.0,2.0,,,0.0,,,,,,
Syndra,2,0,1.0,0,2.0,0.0,3.0,,,2.0,,,,,,
Thresh,1,0,0.0,0,1.0,0.0,0.0,,,7.0,,,,,,
Ivern,1,0,0.0,0,1.0,0.0,1.0,,,0.0,,,,,,
Zoe,1,0,0.0,1,0.0,100.0,19.0,,,0.0,,,,,,
Viego,1,0,0.0,1,0.0,100.0,17.0,,,0.0,,,,,,
Nidalee,1,0,0.0,1,0.0,100.0,16.0,,,0.0,,,,,,
Gnar,1,0,0.0,1,0.0,100.0,2.0,,,0.0,,,,,,
Camille,1,0,0.0,0,1.0,0.0,0.0,,,8.0,,,,,,
Ashe,1,0,0.0,1,0.0,100.0,4.0,,,5.0,,,,,,
Jinx,1,0,0.0,0,1.0,0.0,14.0,,,0.0,,,,,,
Seraphine,1,0,0.0,1,0.0,100.0,5.0,,,0.0,,,,,,
Mel,1,0,0.0,1,0.0,100.0,2.0,,,7.0,,,,,,
